comment,class
uma porcaria com certeza,1.0
m de muito mais que bom vcs,0.0
nao quero 100 mil quero um milhao desse jeito tu vai e perder os inscritos q ja tem ridiculo valoriza oq vc ja conquistou,1.0
nois pretinho e foda nefoda pra caraio,0.0
so vim pra ver a treta,0.0
a musica vale tanto quanto ela nadaaaaaaaa,1.0
mae dessa pessoa deve ter um desgosto o fim dela todos sabem,1.0
da pra ver na cara dela que quando ela ler esse comentarios ela fica ofendida 218,0.0
vim pelo mininin da cara feia,0.0
pode ver que no final ela acorda com medo na cama,0.0
que babaca mds pra que isso,1.0
olha que poca vergonha,0.0
ta ficando cada vez mais sonsa fazendo essas musicas,1.0
gay,1.0
depois a culpa e do chico,0.0
ue e as flores,0.0
diabo ja controla tudo cuidado com oq se ve meu amigo se voce veio por curiosidade n ouse em ver denovo fique longe de seres e coisas demonicas e pagas e o diabo e seus servos vao tentar te atacar seje forte e ore a deus que ele vai te proteger que deus te abencoe amem,1.0
gente voces poderiam passar no meu canal e me ajudar lah ficaria muito agradecido,0.0
tantas pessoas querendo uma placa dessa e isso que voce faz com ela nada contra mas essa tua atitude foi muito imbecil to torcendo muito pra quando chegar sua placa de um milhao ela vir toda rachada,1.0
que cantora perfeita,0.0
essa e uma falsa pq ela nao estudou nem em harvard essa burra idiota e ainda diz que e rica aonde so se for de saude ne querida,1.0
qboosta,0.0
eu nao to falando de brincadeira,0.0
galera peco que se inscrevem no meu canal nao to obrigando mais se ele ta quebrando o de mil inscritos o que sera que ele ira fazer com o de 1milhao,0.0
sonhei com um campo de morango,0.0
n e aquela marca cara de bolsa,0.0
fala de nos que ssomos porco e ela com cataro na naris porcaaaaaaaa,1.0
a musica e muito boa te adoro isso nao e hate eu so queria saber se os morangos sao de vdd e se sim vcs jogaram tudo fora,0.0
caminhado a 10000 de escritos vamos da like nos videis do felix,0.0
mano isso seria lembranca pra quando ilhao c fica pensando nossa se lembra daquela epoca quando eu tinha tanto inscrito,0.0
nunca vou te perdoar por diminuir essa musica serio,0.0
perfeicao,0.0
mds e eu querendo 100 subs,0.0
que lixo,1.0
ela tem um prendedor de roupa invisivel no nariz,0.0
que hipocrita,1.0
ridicula,1.0
como faco para desver,1.0
odeio essa mina,1.0
pura carnica essa musica e ainda tem a coraem de colocar o nome dos nisso vai procurar alguma coisa util pra fazer na vida para de envergonhar o o nosso brasil com essas musicas podres cruzes,1.0
namoral pra que isso tanta gente que sonha em ter essa placa e vc pega e destroi como se fosse nada toma no sei cu devia apreciar que vc consiguiu essa meta e nao destruir isso como se tivesse jogando fora todo o esforco que vc fez,1.0
mais pelo menos ela falou uma verdadr ne a sociedade so acha bonita quem tem olhos claros e cabelos lisos ou ser for branco,0.0
e foda,0.0
qualquer um e muito muito muito muito muito muito mais bomita do que vc,1.0
idiotice de vdde desnecessario isso ele nn deveria nem ganhar o de l,1.0
qual e o istagram dessa podre,1.0
nojooooo,1.0
ai meu deus o que e isso que invadiu meus ouvidos e poluiu minha tela,0.0
musica ruim letra horrivel coloca a mulher como objeto sexual isso nao tinha nem que ser considerado musica,1.0
minha nossa ela fala sem pensar,0.0
seu imbecil tanto youtuber querendo uma dessas e tu estragando,1.0
que mulher lixo pqp,1.0
nao sei qual o motivo de fazer esse clipe isso nao e arte mas enfim cada um pensa de um jeito de pensar agora utilizar a arte para influenciar negativamente e uma coisa que acho errada respeitar e uma coisa se utilizar da arte para fazer anarquia e uma coisa o brasil precisa de pessoas que saibam valorizar mais os bons costumes aqui nos temos muito a cultura de utilizar dos movimentos para tornar algo que nao e normal ser visto como bom os tempos sao outros,0.0
que doidera,0.0
eu nao conhecia nadaagora entendi por que a musica se chama chico ela estava de mestruada numa cama branca,0.0
ele merecia nem ganha a de 1 m so por ter quebrado o presente do yt,0.0
ser voces nao gostaria que recebe reite para de fala que a musica dela nao presta voces deviar pensa comum ela ta aguora ser voces nao ligou para ela plobema e seus ela faz oque ela quese o corpo e dela ta com raiva sai fora oxi ela nao nerese e so ser voces nao gosto vasa ou vai toma no cu filhos da mae ela ser quese danca nua voces mulhes que deverao pasta atensao do que fala ok e so esso a musica ficou otima ok beijos,1.0
promiscuidade atrai promiscuidade,0.0
mano voce tem que entender que nao sao so numeros essa placa foi produzida e entregue a voce pelo pessoal do youtube com carinho voce deveria sentir orgulho em receber isso deveria guardar olhar pra ela e recordar toda a sua trajetoria ate agora melhore,0.0
com isto ela so estar conseguindo o que ela sempre quis que e a fama acho que o desprezo pra uma pessoa assim seria o melhor castigo nao precisava mais nada,0.0
em que momento da live ela foi racista vcs ein gostam de se aproveitar das coisas pra ganhar ibope,0.0
ate uma muchila e mas bonita que voce,1.0
mds morri,0.0
todo mundo faz o que quer,0.0
a unica coisa boa dessa musica sao os arranjos e instrumentais,0.0
isso e musica,0.0
louca,1.0
esse negocio e manual cama sutra,0.0
esse cenario nam,0.0
engracado que ela diz ser bonita,0.0
deus me livre tu nao precisa disso nao,0.0
em vez de fazer um video de 3 minutos destruindo a placa deveria fazer um agradecendo aos inscritos q perdem tempo vendo videos como esse,0.0
blz agora ja posso furar meus olhos e meus timpanos,1.0
hoje tem,0.0
mazu qui e isso aqui no meu computador,0.0
falaram tanto eu fiquei coriosa,0.0
puts,0.0
deu medo,0.0
ela cantou pouco mas cantou pra caralho,0.0
nossa cara,0.0
nao shippo e jamais vou shippar credoooo q casal do cao,0.0
gente so gente inteligente consegue entender eu entendi,0.0
pelamordedeus,0.0
so risos,0.0
so ouvir verdades,0.0
parece uma assombracao,1.0
senti nojo disso cara,1.0
tem como desver,1.0
mds vim por curiosidade e me ferrei pta vergonha alheia esse clipe mds impressionado,1.0
isso foi ridiculo,1.0
to viciada,0.0
eles roubaram o trono,0.0
quando a placa de um milhao chegar aproveita e quebra pra ver oque tem dento imbecil,1.0
eu nao queria mesmo estar fazendo esse tipo de comentario mas sua atitude nesse video foi meio imbecil tem gente que esta a mais de 1 ano no youtube sonhando com uma placa dessas e voce ainda tem coragem de dizer que nao ve outra utilidade alem de colocar na parede voce e um ser horrivel,1.0
essa mulher tinha que ter vergonha na cara,1.0
pelamor de deus esse beijo insentiva criancas a beijos gay ah meu pau mano ja vi altos desenhos animados com os personagens fumando bebendo roubando matando e nao e por isso que eu vou fazer isso e outra desde quando funk e pra crianca cria vergonha ele beija quem ele quer eohem,1.0
que mulher doente precisa de um psiquiatra,1.0
essa mulher e doente vai ser processada por muita bosta que fala sem necessidade,1.0
vcs sabem pelo menos oque ela ta querendo insinuar deveria ter vergonha,1.0
vai passar dos 100 milhoes sera,0.0
vemos aqui um exemplo de como ser imbecil,1.0
e a dificuldade com o plural,0.0
so quer chamar atencao e ganhar mais fama,1.0
o bagulho e denunciar por conteudo sexual,0.0
ficou sensacional essa musica super show arrasou,0.0
sempre achei ela estranha,0.0
gente o que e pior a letra a melodia a indole da cantora ou a postura na minha opiniao tudo lixo,1.0
que falta de consideracao,0.0
so vim aqui da deslike por causa daquele video catando racionais,0.0
quando soube que ele havia beijado um homem ate achei que fosse uma musica com uma pegada mais sensual mas achei forcado o beijo ficou perdido na musica meio sem nada a ver sei la acho que forcou e nao colou,0.0
anjo voce nunca vai ficar preso a de vem ai mas sabe voce vai ultrapassar cada vez mais essas marcas,0.0
vim aqui so pra dar deslike e dizer que vc nao esta nessa situacao por ser mulher ou por ser ex esposa vc esta ganhando esses deslike pq essa musica e um lixo,1.0
eu n vi isso smp te admirei agora vejo q tu e um imbecil,1.0
vc nao me representa,0.0
sou negro e nao me incomodo nem me ofendo com as palavras dela ela so fala o que a maioria esconde dentro de si liberdade de expressao nao defendo nem critico a doenca da alma nao se cura no presidio todos criticam mas muitos se identificam com ela nao e a toa que os seguidores aumentaram,0.0
nossa ela tem tanto talento e e tao linda sinceramente essas musicas nao combinam com ninguem nao tem como voce ouvir essa musica sem ter um pingo de nojo,1.0
pq ngm fala que o comeco parece,0.0
agora oque vai ter de homem ai vestido dessa forma,0.0
que diabo de nariz e esse que diabo feio,1.0
musica sem conteudo e o video ta igual a musica rdcl,1.0
a vontade de rir e grande mas a de enfiar num buraco e maior,0.0
mano parasse que ocorreu um crime na cama,0.0
que nojo desse animal deve que vive na tpm esse bicho doente fica julgando as pessoas e nao olha o proprio nariz parente do diabo deve ser irma do demonio,1.0
top demais,0.0
n de nao da pra parar de ouvirrr e assistirrrrr,0.0
ridiculo querendo ganhar nome em cima dos gays nao vi representatividade nada a ver o clipe com a musica desnecessario micao close errado,1.0
ela divou,0.0
interessante a questao da percepcao algumas pessoas se remeteram a violencia eu nao vi nada que me sugere isso a unica coisa que eu pensei foi menstruacao no maximo sexo menstruada,0.0
muito louko,0.0
gente por essa eu nao esperava,0.0
o nome da musica deveria ser desnecessaria,0.0
mds esse e o maior preesente que voce ja recebeu cara isso representa a historia do seu canal cara,0.0
submissa ao homem isso mesmo mulher nojenta e machista ela quer live,1.0
idiota n merece,1.0
ela linda,0.0
so o msm pra fazer uma coisa dessas,0.0
q isso o importante q ta legal e engracado,0.0
tem do dela,0.0
no inicio parecia uma bosta quando cheguei no final eu estava no inicio,1.0
credo sei de re,0.0
ela e linda talentosa tem muito mais atributos pra mostrar do que o corpo nao e um clipe que eu pense nossa muito bom vou ver de novo como aconteceu com outros trabalhos dela,0.0
eu quero mais e que o cu do mundo pegue fogo ta certo a moca ai faz seu trampo ganha o seu quem gosta prestigia quem nao gosta passa reto e para os troxas continuem dando deslike isso e engajamento e views para o clip e melhor divulgacao gratuita continuem seus troxas,1.0
nunca tinha escutado nenhuma musica desse ser humano e agr ja sei pq so oro pra que deus abra os olhos espirituais daqueles que dormem que ele tenha misericordia no grande dia aonde todos serao julgados se o problemas dessa musica fosse so o clip como tdo mundo ta falando mas o problema tbm sao as letras eu n consigo me comformar com oque a criacao de deus esta se tornando n me conformo e n aceito realmente oro por misericordia de deus pra tdos nos,0.0
krl ela so quer mostrar o tobias,0.0
q nojo,1.0
que do mano porque vc feis isso mano,0.0
apaga o video ainda a tempo,0.0
o inferno esta em festa com essa musica e com esse videoclipe,1.0
quantos po de acucar o fumo oo,0.0
pessimo,0.0
decorei essa,0.0
isso nao pode ser chamado de musica,0.0
fez esse video pra anunciar que e gay so pode,0.0
essa mulher e suja mano que nojo,1.0
que demente voce e amigo,1.0
que tapa na cara da sociedade chocadaaaa,0.0
pior q ela e esse povo que fica dando atencao pra ela na live,0.0
mais deslike que inscritos,0.0
mano cada um cm seu gosto quanto a ser gay nada contra pois sou bi mas apelou pra crlh por causa dessa midia sensacionalista que quer nos impor moda gay pqp nada a ver e na musica menos ainda,0.0
que merda de musica e clipe que eternidade a pessoa esta sonhando com campo de morando e nao tem uma arvore de morango para vey,1.0
sou rockeira e passei apenas pra deixar meu,0.0
misericordia,0.0
tipo nada a ver esse video caramba gente nao tem nada produtivo hoje em dia tanta banalidade letra ruim video ruim muito triste sempre imaginei que ela faria um trabalho num bom nivel,0.0
mais retardado impossivel o que o dinheiro nao faz,1.0
pensa este video cai na nossas familia nossas crianca comeca beija teus irmao como explica nossos inoscente meu deus querem queima imagem cristo representada pelas familia quaisquer forma nao e preconceito e respeito nossas crianca vcs e midia apelativa,1.0
eu curtia pra krl o raiz que sempre tava na roda de funk mandando aquela rima foda e triste ver um cara que era um dos melhores mcs do funk do rio de janeiro virar esse cara fraco de letra e fraco de conteudo lamentavel isso,0.0
ridiculo,1.0
moh lixo a musica veey,1.0
nossa serio desprezivel isso o que vc fez e a placa nao estava te prendendo a nada isso e egoismo da sua parte serio nunca pensei que vc faria uma coisa tao desprezivel assim esse botao que significa um crescimento para todos os youtubers e pq vc nao tem idea de como e dificil crescer no youtube ta acostumado com as coisas faceis por isso faz isso decepcionado,1.0
nossa man tem um monte de gente q sonha ter pelo menos 1000 inscritos ou entao pelo menos ganhar um trofeu e ae vem vc corta o trofeu q ganhou e diz q quer mais cade a humildade man pqp n merece nem metade dos inscritos q tem,1.0
mais 200 mil chegamos aos 18m,0.0
as pessoas falam tanto de preconceito na moral n achei nada de mais e um trabalho artistico e se ele n sentiu a masculinidade afetada quem sao os outros pra julgar eu acredito que ele e hetero,0.0
galera eu entendi pq ele fez isso lembra que ele ganhou o zuei vlw flw a awards entao ele vai ganhar um milhaooooo de inscritos entao ele nao queria ficar c o botao do yt de cem mil entendem ai ele fez isso pode ter sido um pouco burro ele poderia ter guardado para lembrar dos cem mil mais p botao e dele e eu apoio ele tamo junto,1.0
na minha humilde opiniao claro sem o desejo de ofender os que pensam diferente o meu ponto de vista analisando com um pouco mais de profundidade sem o intuito de esclarecer tudo considerando as caracteristicas de cada um falsa modestia eu sinceramente acho que esqueci o que eu ia dizer,0.0
odiei,0.0
cruzes,0.0
eu vim assistir esta merda deus esta decepcionado comigo desculpa deus da vontade de enfiar a cabeca na parede enquanto toca essa merda ate sair tudo que dentro do cranio,1.0
esse e tipo um ladrao de doce diabetico so passa a mao mas nunca come,0.0
oque e,0.0
que musica chats meu deus,0.0
vi uma reportagem que ela nem e uma socialite tem uma irma e uma mae que so tem desgosto um sobrinho com cancer que ela nem se quer ligou pra ele morava no interior do rio e pior deve ter entrado ilegal no canada,0.0
ele e gay mesmo,0.0
olha o que essa mulher fala alguem precisa internar ela,0.0
ela ta fazendo o ritual para o dabo,0.0
rumo ao milhao,0.0
ela mesma se bota como um objeto sexual no clip e quer falar de machismo,0.0
ele pode mudar vc,0.0
eu gostei,0.0
voce por acaso tem ideia de quantas pessoas lutam pra chegar a isso passam varios dias da semana madrugando pra conseguir chegar a ter uma dessa tantas pessoas dando o melhor de si para conseguir isso e voce nao da valor voce nao merece nem 5 inscritos e espero que nao chegue aos 100 milhoes se e pra fazer essa desfeita para um youtuber de verdade essa placa nao e uma bostinha qualquer e uma conquista tu e um ignorante mesmo nao mereceu ter ganhado isso,1.0
essa e minha fav,0.0
serio que vcs acham o virao bonito,0.0
se sentindo triste,0.0
essa geracao ta perdida,0.0
arrasou,0.0
e muito doido eu nao teria coragem de destruir essa placa nunca,0.0
nmrl agora vc foi idiota,1.0
segundo a teoria de freud que diz que cada pessoa pode entender algo diferente do mesmo conteudo e isso o leva diretamente para uma linha de raciocino desconhecida ate entao com base no conteudo consumido por uma vida inteira e influencias sociais concluisse que nao se pode alterar sua linha de raciocinio uma vez que ela ja foi lancado em milesimos de segundo apos a conclusao de tudo que ja foi pensado rs se leu ate aqui e nao entendeu nada curti,0.0
mais um video do,0.0
ela conta muita vantagem,0.0
nossa o cara e doente,1.0
poxa nao sei o que ouve com vc na sua vida mais estou aqui orando por vc pra que mude,0.0
gente vamos um milhao ajuda,0.0
eu n sei pq estao falando assim tanto do clipe eu gostei bastante,0.0
voce nao merece chegar a 1 milhao de inscrito pq nao e nenhum pouco humilde com o seu premio se vc acha isso divertido ou coisa do tipo reveja os seus pensamentos ha milhoes de pessoas querendo isso e vc esnoba desse jeito voce ate pode ser um cara legal e tal mas oq vc acabou de fazer so vai trazer maus olhos pro seu canal da proxima vez pense melhor,0.0
eu adoro essa mulher,0.0
isso e um demonio uma rapariga dessa vagabunda,1.0
a dancinha americana e boa,0.0
ela estragou esse tanto de morango pra nada que merda em,1.0
mulher feia da desgraca,1.0
q poha e essa man,1.0
isso tudo por dinheiro e,0.0
vergonha das gays e pocs,1.0
tudo comecou no clip bomba relogio la eles estao meio que escondendo o jogo ai agr q ela e o wi separaram pode fazer tudo as claras,0.0
krl man q bosta o jardineiro passou o rodo nela e ainda plantou a madeira da rosa em outro terrenose e q vcs me entendem,1.0
isso que eu chamo de degradacao humana,1.0
mds como consegue fazer uma musica tao perfeita,0.0
nossa se fosse pra fazer isso era melhor nem ganhar essa placa isso e um presente do youtube para cv recordar dos 100k e nao para jogar os seus inscritos fora ou cortar ele no meio nao sou de dar dislike nos videos de ngm mas esse vc mereceu,0.0
a musica extre pessima mas tambem muito boa nao sei dizer eu particularmente gosto da vibe dessa musica me julguem,0.0
esse cara e desprezivel e ainda tem gente q fala like muito foda vao tomar no cu bando de babacas o cara nao tem respeito com os inscritos e nem com os colegas de trabalho q lutam ou lutaram pra conseguir 100k,1.0
gente essa mulher tem e sindrome de dal nao tem cerebro,1.0
so vo esperar os memes,0.0
bom d,0.0
krlh q poha comecou a fazer malhacao saiu do armario,1.0
maromba huehuehue,0.0
perfeita,0.0
se garantiu,0.0
ce nwo fez isso,0.0
trabalhei duro de 10 conta so no deslike,0.0
maravilhosa maravilindo,0.0
nossa a placa e dele ele pode fazer o que ele quiser com a placa e quebrar a blaca nao vai fazer as pessoas pararem de gostar dele,0.0
ah senhor nao consigo para de rir,0.0
a carreira dessa merda ai afunda aproveita dos outros e foda casa cmg quem sabe eu n fico famoso dps te largo degdeg,1.0
socialite uma merda alem de ignorante e racista,1.0
diva,0.0
rumo a 1m,0.0
como essa mulher pode postar live pra ouvir tantas desgracas,0.0
essa e doida de pedra,1.0
glr que deixou mais deslike do que like nesse videoo cara que postou esse video ele e contra ela e n a favor leiam o tituloo dono do canal so veio mostrar o motivo dessa mulher ser conhecida edito pior e saber que tem pessoas no mundo que apoiam essa mulher asquerosa,1.0
eu que queria elaaa,0.0
3 mi de deslikes e 1 mi de like mds,0.0
u de uau,0.0
